iter	Passed	Remaining
436	1566	2018
437	1569	2014
438	1574	2011
439	1576	2006
440	1582	2005
441	1591	2009
442	1594	2004
443	1597	1999
444	1599	1995
445	1606	1995
446	1609	1990
447	1613	1988
448	1616	1984
449	1623	1984
450	1626	1979
451	1628	1974
452	1631	1970
453	1639	1972
454	1643	1968
455	1646	1963
456	1657	1969
457	1660	1965
458	1664	1962
459	1670	1960
460	1672	1955
461	1675	1951
462	1678	1946
463	1684	1946
464	1688	1942
465	1690	1937
466	1693	1932
467	1700	1933
468	1704	1929
469	1706	1924
470	1709	1919
471	1712	1915
472	1718	1914
473	1720	1909
474	1723	1905
475	1735	1910
476	1749	1918
477	1753	1915
478	1757	1911
479	1761	1908
480	1765	1904
481	1768	1900
482	1771	1895
483	1775	1892
484	1779	1890
485	1781	1884
486	1784	1879
487	1786	1873
488	1788	1868
489	1792	1865
490	1794	1860
491	1796	1855
492	1798	1849
493	1800	1844
494	1802	1839
495	1804	1833
496	1807	1828
497	1809	1823
498	1811	1818
499	1813	1813
500	1815	1808
501	1818	1803
502	1823	1801
503	1826	1797
504	1828	1792
505	1830	1787
506	1832	1782
507	1834	1777
508	1838	1773
509	1840	1768
510	1842	1763
511	1844	1758
512	1846	1753
513	1848	1748
514	1851	1743
515	1856	1741
516	1858	1736
517	1862	1732
518	1864	1728
519	1869	1725
520	1871	1720
521	1874	1716
522	1876	1711
523	1878	1706
524	1880	1701
525	1883	1697
526	1886	1693
527	1888	1688
528	1890	1683
529	1892	1678
530	1894	1673
531	1896	1668
532	1900	1664
533	1903	1661
534	1905	1656
535	1907	1651
536	1909	1646
537	1912	1642
538	1916	1639
539	1919	1635
540	1921	1630
541	1923	1625
542	1927	1622
543	1930	1618
544	1932	1613
545	1934	1608
546	1936	1603
547	1939	1599
548	1941	1594
549	1944	1590
550	1946	1586
551	1948	1581
552	1950	1576
553	1952	1571
554	1954	1566
555	1956	1562
556	1958	1558
557	1960	1553
558	1962	1548
559	1964	1543
560	1966	1539
561	1968	1534
562	1971	1530
563	1976	1527
564	1978	1523
565	1980	1518
566	1982	1513
567	1983	1508
568	1986	1504
569	1991	1502
570	1993	1497
571	1994	1492
572	1996	1487
573	1997	1482
574	1999	1477
575	2000	1472
576	2002	1467
577	2004	1463
578	2006	1459
579	2008	1454
580	2010	1449
581	2011	1444
582	2013	1440
583	2015	1435
584	2019	1432
585	2020	1427
586	2022	1422
587	2023	1418
588	2025	1413
589	2026	1408
590	2028	1403
591	2030	1399
592	2032	1394
593	2034	1390
594	2036	1386
595	2038	1381
596	2039	1377
597	2041	1372
598	2043	1368
599	2045	1363
600	2046	1358
601	2048	1354
602	2050	1349
603	2051	1345
604	2053	1340
605	2055	1336
606	2056	1331
607	2058	1326
608	2059	1322
609	2061	1318
610	2064	1314
611	2066	1309
612	2067	1305
613	2069	1300
614	2070	1296
615	2071	1291
616	2073	1287
617	2074	1282
618	2076	1278
619	2078	1274
620	2080	1269
621	2081	1265
622	2083	1260
623	2085	1256
624	2086	1251
625	2087	1247
626	2089	1243
627	2091	1238
628	2093	1234
629	2095	1230
630	2096	1226
631	2098	1221
632	2099	1217
633	2101	1213
634	2102	1208
635	2104	1204
636	2105	1199
637	2106	1195
638	2108	1191
639	2110	1187
640	2111	1182
641	2113	1178
642	2114	1174
643	2115	1169
644	2117	1165
645	2118	1161
646	2120	1156
647	2121	1152
648	2123	1148
649	2125	1144
650	2126	1140
651	2128	1136
652	2129	1131
653	2131	1127
654	2132	1123
655	2134	1119
656	2135	1114
657	2137	1110
658	2139	1106
659	2140	1102
660	2142	1098
661	2143	1094
662	2145	1090
663	2147	1086
664	2148	1082
665	2150	1078
666	2152	1074
667	2153	1070
668	2155	1066
669	2156	1062
670	2158	1058
671	2159	1054
672	2161	1050
673	2162	1045
674	2163	1041
675	2165	1037
676	2168	1034
677	2170	1030
678	2172	1026
679	2173	1023
680	2175	1019
681	2177	1015
682	2178	1011
683	2180	1007
684	2183	1004
685	2185	1000
686	2186	996
687	2188	992
688	2189	988
689	2191	984
690	2192	980
691	2194	976
692	2195	972
693	2198	969
694	2199	965
695	2201	961
696	2203	957
697	2204	953
698	2206	950
699	2207	946
700	2209	942
701	2211	938
702	2213	935
703	2215	931
704	2216	927
705	2218	923
706	2219	919
707	2221	916
708	2222	912
709	2224	908
710	2225	904
711	2227	900
712	2230	897
713	2232	894
714	2233	890
715	2235	886
716	2236	882
717	2238	879
718	2240	875
719	2242	872
720	2244	868
721	2246	864
722	2247	861
723	2248	857
724	2250	853
725	2251	849
726	2253	846
727	2255	842
728	2257	839
729	2259	835
730	2260	831
731	2262	828
732	2263	824
733	2264	820
734	2266	817
735	2267	813
736	2269	809
737	2270	806
738	2273	802
739	2274	799
740	2275	795
741	2277	791
742	2278	788
743	2280	784
744	2281	780
745	2283	777
746	2284	773
747	2286	770
748	2288	766
749	2289	763
750	2291	759
751	2292	756
752	2293	752
753	2295	748
754	2296	745
755	2298	741
756	2299	738
757	2301	734
758	2303	731
759	2305	727
760	2306	724
761	2308	720
762	2309	717
763	2311	713
764	2312	710
765	2314	706
766	2315	703
767	2317	700
768	2319	696
769	2320	693
770	2322	689
771	2323	686
772	2325	682
773	2327	679
774	2328	676
775	2330	672
776	2332	669
777	2334	666
778	2335	662
779	2337	659
780	2338	655
781	2340	652
782	2341	649
783	2343	645
784	2344	642
785	2346	638
786	2348	635
787	2350	632
788	2351	628
789	2353	625
790	2354	622
791	2355	618
792	2357	615
793	2359	612
794	2360	608
795	2363	605
796	2364	602
797	2366	598
798	2367	595
799	2368	592
800	2370	588
801	2371	585
802	2373	582
803	2374	578
804	2375	575
805	2377	572
806	2379	569
807	2380	565
808	2382	562
809	2383	559
810	2385	555
811	2386	552
812	2388	549
813	2389	546
814	2390	542
815	2393	539
816	2395	536
817	2396	533
818	2398	530
819	2399	526
820	2401	523
821	2402	520
822	2404	517
823	2405	513
824	2407	510
825	2409	507
826	2411	504
827	2412	501
828	2414	498
829	2415	494
830	2417	491
831	2419	488
832	2420	485
833	2422	482
834	2424	479
835	2426	475
836	2427	472
837	2428	469
838	2430	466
839	2431	463
840	2433	460
841	2435	457
842	2439	454
843	2440	451
844	2442	447
845	2443	444
846	2445	441
847	2446	438
848	2448	435
849	2449	432
850	2451	429
851	2453	426
852	2455	423
853	2456	420
854	2458	416
855	2459	413
856	2461	410
857	2463	407
858	2464	404
859	2466	401
860	2468	398
861	2470	395
862	2471	392
863	2473	389
864	2474	386
865	2475	383
866	2477	380
867	2478	376
868	2480	373
869	2481	370
870	2484	367
871	2485	364
872	2487	361
873	2488	358
874	2489	355
875	2491	352
876	2492	349
877	2494	346
878	2495	343
879	2497	340
880	2499	337
881	2500	334
882	2502	331
883	2504	328
884	2505	325
885	2507	322
886	2509	319
887	2511	316
888	2513	313
889	2515	310
890	2516	307
891	2517	304
892	2519	301
893	2520	298
894	2522	295
895	2523	292
896	2525	289
897	2526	286
898	2528	284
899	2530	281
900	2531	278
901	2532	275
902	2534	272
903	2535	269
904	2537	266
905	2538	263
906	2539	260
907	2540	257
908	2542	254
909	2544	251
910	2546	248
911	2547	245
912	2548	242
913	2549	239
914	2551	237
915	2552	234
916	2553	231
917	2555	228
918	2556	225
919	2558	222
920	2559	219
921	2561	216
922	2562	213
923	2563	210
924	2565	207
925	2566	205
926	2567	202
927	2568	199
928	2570	196
929	2571	193
930	2573	190
931	2575	187
932	2576	185
933	2578	182
934	2579	179
935	2580	176
936	2581	173
937	2583	170
938	2584	167
939	2585	165
940	2587	162
941	2589	159
942	2591	156
943	2592	153
944	2593	150
945	2595	148
946	2596	145
947	2598	142
948	2599	139
949	2601	136
950	2603	134
951	2605	131
952	2606	128
953	2607	125
954	2609	122
955	2610	120
956	2611	117
957	2612	114
958	2614	111
959	2615	108
960	2617	106
961	2619	103
962	2620	100
963	2622	97
964	2623	95
965	2624	92
966	2625	89
967	2627	86
968	2628	84
969	2629	81
970	2631	78
971	2633	75
972	2634	73
973	2636	70
974	2637	67
975	2638	64
976	2640	62
977	2641	59
978	2642	56
979	2644	53
980	2645	51
981	2647	48
982	2649	45
983	2650	43
984	2651	40
985	2652	37
986	2654	34
987	2655	32
988	2656	29
989	2658	26
990	2659	24
991	2660	21
992	2662	18
993	2664	16
994	2666	13
995	2667	10
996	2668	8
997	2669	5
998	2671	2
999	2672	0
